"endpoint","status","ok","rootKind","topKeys","detail"
"/api/fleet/reports?page=1&limit=20","200","True","object","reports,unreadCount","reports[]:<empty> |"
"/api/fleet/spy-reports?page=1&limit=20","200","True","object","reports,unreadCount","reports[]:id;missionId;userId;targetPlanetId;targetMoonId;targetSystemId;targetFieldId;targetStationId;targetUserId;outcome;fleetData;buildingData;defenseData;resourceData;expiresAt;isRead;createdAt;targetPlanetName;targetMoonName;targetFieldName;targetStationName;targetUsername;targetAvatarUrl;targetPortraitFrame;targetAllianceTag;isSaved |"
"/api/fleet/survey-cooldowns","200","True","object","cooldowns","cooldowns[]:<empty> |"
"/api/fleet/survey-reports","200","True","object","reports,unreadCount,restedStatus","reports[]:id;missionId;userId;systemId;eventType;eventTitle;eventDescription;loot;uncollectedLoot;salvageExpiresAt;shipsLost;shipsDamaged;surveyDuration;securityZone;combatLog;investigated;anomalyExpiresAt;wormholesDetected;isRead;createdAt;requiresDeadPlanetOrigin;systemName;systemX;systemY;isSaved | restedStatus{}:charges;maxCharges;bonusMultiplier;nextChargeAt |"
"/api/fleet/system-debris","200","True","object","debris","debris[]:id;systemId;systemName;systemX;systemY;securityZone;locationType;locationId;createdAt;ore;silicates;hydrogen;alloys;cryo_ice;quantum_dust;plasma_core;bio_extract;dark_matter;expiresAt;requiresDeadPlanetOrigin;guardedByPirates;remainingPirates |"
"/api/fleet/system-debris?systemId=80","200","True","object","debris","debris[]:id;systemId;systemName;systemX;systemY;securityZone;locationType;locationId;createdAt;ore;silicates;hydrogen;alloys;cryo_ice;quantum_dust;plasma_core;bio_extract;dark_matter;expiresAt;requiresDeadPlanetOrigin;guardedByPirates;remainingPirates |"
"/api/fleet/wormhole-runs?page=1&limit=20","200","True","object","runs,unreadCount","runs[]:<empty> |"
"/api/fleet/wormholes?page=1&limit=20","200","True","object","wormholes","wormholes[]:<empty> |"
"/api/galaxy/arms","200","True","object","arms","arms[]:id;name;index;angleOffset;sectorCount |"
"/api/galaxy/arms/1/sectors","200","True","object","sectors","sectors[]:id;armId;index;name;controllerAllianceId;controlledSince;securityZone;systemCount;colonizedPlanets;visibility |"
"/api/galaxy/field-index","200","True","object","systems","systems[]:systemId;systemName;systemX;systemY;securityZone;fieldType;fieldCount;totalRemaining;totalCapacity;minRichness;maxRichness;richestFieldId;richestFieldName;allianceLocked;questKey;requiresDeadPlanetOrigin |"
"/api/galaxy/map","200","True","object","systems,userSystemIds","systems[]:id;x;y;sectorId;armId;starType;securityZone;requiresDeadPlanetOrigin;hasColonies;name;visibility | userSystemIds[]:<primitive> |"
"/api/galaxy/sectors/1/systems","200","True","object","systems","systems[]:id;sectorId;name;x;y;starType;seed;isMarketHub;isRiftCore;armId;securityZone;requiresDeadPlanetOrigin;planetCount;colonizedCount;hasColonies;visibility |"
"/api/galaxy/systems/80/planets","200","True","object","planets,asteroidFields,moons,visibility,included,planetCount,hasCivilization","planets[]:id;name;position;planetType;size;temperature;userId;isHomeworld;colonizedAt;shieldReinforcedUntil;ownerName;ownerRace;ownerAvatarUrl;ownerAllianceTag;ownerPortraitFrame;ownerIsVacationMode | asteroidFields[]:id;name;position;fieldType;richness;totalResources;remainingResources;expiresAt;controllerUserId;controllerName;controllerIsVacationMode;outpostId;outpostShieldHp;outpostShieldMaxHp;outpostShieldReinforcedUntil;allianceId;questOwnerUserId;questKey;requiresDeadPlanetOrigin | moons[]:id;planetId;name;moonType;size;position;buildingSlots;userId;colonizedAt;ownerName;ownerAvatarUrl;ownerIsVacationMode | included{}:planets;moons;fields |"
"/api/market/hubs","200","True","object","hubs","hubs[]:id;armId;systemId;name;commissionRate;isActive;systemX;systemY;starType;sectorIndex;armName;securityZone;systemName |"
"/api/market/my-balances","200","True","object","balances","balances[]:hubId;resource;available;locked |"
"/api/market/my-trades","200","True","array","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39","id,hubId,buyerHubId,resourceSold,amountSold,resourcePaid,amountPaid,commissionSeller,commissionBuyer,sellerId,buyerId,createdAt"
"/api/market/orders?page=1&limit=25","200","True","object","orders,pagination","orders[]:id;userId;username;hubId;orderType;offerResource;offerAmount;offerRemaining;requestResource;requestAmount;baseResource;quoteResource;limitPrice;baseAmount;baseRemaining;quoteAmount;status;expiresAt;createdAt | pagination{}:total;limit;offset;hasMore |"
"/api/messages/system?page=1&limit=20","200","True","object","notifications","notifications[]:id;subject;body;messageType;senderId;senderName;senderAvatar;isRead;createdAt |"
"/api/moons/49793","200","True","object","moon,buildings,queue,allMoonDefs","moon{}:id;name;moonType;size;planetId;userId;buildingSlots | buildings[]:<empty> | queue[]:<empty> | allMoonDefs[]:<empty> |"
"/api/moons/49793/fleet","403","False","object","error,code",""
"/api/outposts","200","True","object","outposts,resourceSnapshots","outposts[]:<empty> | resourceSnapshots[]:<empty> |"
"/api/planets","200","True","object","planets","planets[]:id;name;planetType;isHomeworld;colonizedAt;systemId;position;systemName |"
"/api/planets/35572","200","True","object","planet,serverNow,deadSpaceShieldEnabled,resourceSnapshot,systemInfo,productionBreakdown,productionMultiplier,starterProductionMultiplier,buildSpeedMult,buildQueueCount,buildQueueMax,buildings","planet{}:id;systemId;userId;name;renamedAt;position;planetType;size;temperature;ore;silicates;hydrogen;alloys;oreRate;silicatesRate;hydrogenRate;alloysRate;energyProduced;energyConsumed;population;maxPopulation;populationGrowthRate;oreStorage;silicatesStorage;hydrogenStorage;alloysStorage;shieldHp;shieldMaxHp;shieldRegenRate;shieldLastUpdatedAt;cryoIce;quantumDust;plasmaCore;bioExtract;darkMatter;antimatter;cryoIceRate;quantumDustRate;plasmaCoreRate;bioExtractRate;darkMatterRate;antimatterRate;rareResourceStorage;computingPower;computingRequired;debrisOre;debrisSilicates;debrisAlloys;shieldReinforcedUntil;shieldReinforcementCooldownUntil;resourcesUpdatedAt;resourceRevision;productionRateVersion;colonizedAt;isHomeworld;usedBuildingSlots;maxBuildingSlots | resourceSnapshot{}:locationType;locationId;revision;serverNow;resourcesUpdatedAt;resources;productionRates;storage;energy;productionRateVersion;productionMultiplier;starterProductionMultiplier | systemInfo{}:systemName;systemX;systemY;starType;securityZone;armIndex;sectorIndex | productionBreakdown{}:breakdown;energyProducers;securityZone;planetType;race | buildings[]:id;level;powerLevel;isUpgrading;upgradeStartedAt;upgradeEndsAt;damagePercent;pvpEconomicDamagedAt;pvpEconomicLevelLossEligibleAt;pvpEconomicRepairProtectsLevel;factoryMode;assignedWorkers;arkLocked;pendingCount;previewBuildTimeSeconds;previewUpgradeCost;demolishPreview;definition |"
"/api/planets/35572/fleet","200","True","object","fleet,cargoBonus,shuttleCargoBonus,resourceSnapshot,resources","fleet[]:id;planetId;shipDefId;quantity;damagedQuantity;definition | resourceSnapshot{}:locationType;locationId;revision;serverNow;resourcesUpdatedAt;resources;productionRates;storage;energy;productionRateVersion;productionMultiplier;starterProductionMultiplier | resources{}:ore;silicates;hydrogen;alloys;cryo_ice;quantum_dust;plasma_core;bio_extract;dark_matter;antimatter |"
"/api/planets/35572/shipyard","200","True","object","ships,shipSpeedMult,orbitalShipSpeedMult,shipScrapSpeedMult,orbitalShipScrapSpeedMult,planetaryQueue,orbitalQueue,planetaryQueueAll,orbitalQueueAll,planetaryQueueCount,orbitalQueueCount,maxQueueSize","ships[]:id;key;name;description;shipClass;costOre;costSilicates;costHydrogen;costAlloys;rareCosts;buildTime;hp;shieldHp;attack;speed;cargoCapacity;miningCargoCapacity;hangarCapacity;requiredShipyardLevel;requirements;fuelRate;shipSize;weaponType;armorType;sortOrder;populationCost;populationCargoCapacity;allowedCargo;effectiveSpeed;available;researchMet;shipyardMet;currentShipyardLevel;shipyardName;requirementNames;repairCostPerUnit | planetaryQueueAll[]:<empty> | orbitalQueueAll[]:<empty> |"
"/api/players/9696/profile","200","True","object","profile","profile{}:userId;username;leaderType;bio;createdAt;avatarUrl;title;portraitFrame;spokenLanguages;rewardCosmetics;isSelf;isVacationMode;alliance;scores |"
"/api/rankings/players?category=military&search=Uuuren","200","True","object","leaderboard,pagination","leaderboard[]:rank;userId;username;leaderType;allianceId;allianceTag;allianceIconKey;isVacationMode;avatarUrl;portraitFrame;title;score;militaryScore;economyScore;researchScore;overallScore | pagination{}:total;limit;offset;hasMore |"
"/api/research","200","True","object","research,researchSpeedMult,activeResearch,activeResearches","research[]:id;key;name;description;era;branch;category;costOre;costSilicates;costHydrogen;costAlloys;rareCosts;researchTime;timeFactor;maxLevel;costFactor;requiredLabLevel;requirements;effects;sortOrder;status;startsAt;endsAt;completedAt;planetId;jobId;pauseReason;eraUnlocked;level;isMaxed;nextCostOre;nextCostSilicates;nextCostHydrogen;nextCostAlloys;nextRareCosts;nextResearchTime | activeResearch{}:id;key;name;status;pauseReason;startsAt;endsAt;planetId;planetName | activeResearches[]:id;key;name;status;pauseReason;startsAt;endsAt;planetId;planetName |"
"/api/research?planetId=35572","200","True","object","research,researchSpeedMult,activeResearch,activeResearches","research[]:id;key;name;description;era;branch;category;costOre;costSilicates;costHydrogen;costAlloys;rareCosts;researchTime;timeFactor;maxLevel;costFactor;requiredLabLevel;requirements;effects;sortOrder;status;startsAt;endsAt;completedAt;planetId;jobId;pauseReason;eraUnlocked;level;isMaxed;nextCostOre;nextCostSilicates;nextCostHydrogen;nextCostAlloys;nextRareCosts;nextResearchTime | activeResearch{}:id;key;name;status;pauseReason;startsAt;endsAt;planetId;planetName | activeResearches[]:id;key;name;status;pauseReason;startsAt;endsAt;planetId;planetName |"
"/api/stations/sector/1","200","True","object","stations","stations[]:id;sectorId;systemId;name;ownerAllianceId;capturedByUserId;capturedAt;capturingAllianceId;capturingUserId;captureEndsAt;captureJobId;shieldHp;shieldMaxHp;turretHp;turretMaxHp;ore;silicates;hydrogen;alloys;basicStorage;rareStorage;cryoIce;quantumDust;plasmaCore;bioExtract;darkMatter;antimatter;resourceRevision;garrison;shieldReinforcedUntil;captureProtectedUntil;withdrawAccessRole;createdAt;buildings;ownerAlliance;capturingAlliance;system |"
